,year,genre
639,2006,hiphop
639,2006,pop
639,2006,r&b
640,2007,pop
640,2007,r&b
641,2006,pop
642,2005,hiphop
643,2006,pop
643,2006,r&b
643,2006,dance/electronic
644,2005,pop
644,2005,dance/electronic
645,2005,set()
646,2005,pop
646,2005,r&b
647,2012,pop
647,2012,dance/electronic
648,2006,hiphop
648,2006,pop
648,2006,r&b
649,2005,hiphop
650,2006,hiphop
650,2006,pop
651,2006,metal
652,2006,hiphop
652,2006,pop
652,2006,r&b
653,2005,rock
653,2005,metal
654,2005,rock
655,2007,pop
655,2007,r&b
656,2006,hiphop
656,2006,pop
657,2006,hiphop
657,2006,pop
658,2006,pop
659,2006,hiphop
659,2006,pop
660,2006,rock
661,2006,country
662,2006,pop
662,2006,r&b
663,2005,hiphop
663,2005,pop
663,2005,r&b
664,2006,pop
665,2006,pop
665,2006,r&b
666,2006,hiphop
666,2006,pop
666,2006,r&b
667,2005,pop
667,2005,r&b
668,2005,hiphop
668,2005,pop
668,2005,country
669,2006,r&b
670,2006,country
671,2006,rock
672,2006,pop
672,2006,rock
672,2006,dance/electronic
673,2006,pop
673,2006,r&b
674,2019,pop
674,2019,rock
674,2019,metal
675,2006,rock
676,2006,rock
677,2005,hiphop
677,2005,pop
677,2005,rock
678,2005,pop
678,2005,r&b
679,2005,rock
680,2005,pop
681,2006,pop
682,2006,pop
683,2006,pop
684,2006,pop
685,2005,hiphop
685,2005,pop
685,2005,r&b
686,2005,world/traditional
686,2005,pop
686,2005,folk/acoustic
687,2004,pop
688,2006,rock
688,2006,pop
689,2006,pop
689,2006,r&b
690,2006,world/traditional
690,2006,rock
690,2006,pop
691,2005,pop
692,2006,world/traditional
692,2006,pop
693,2006,rock
694,2006,rock
694,2006,pop
695,2005,rock
695,2005,pop
696,2006,pop
696,2006,r&b
697,2005,hiphop
697,2005,pop
697,2005,r&b
698,2006,pop
699,2006,rock
700,2007,pop
700,2007,r&b
701,2008,hiphop
701,2008,pop
701,2008,r&b
702,2007,pop
703,2006,pop
703,2006,r&b
704,2007,pop
705,2005,pop
706,2006,pop
707,2006,pop
707,2006,r&b
708,2007,hiphop
708,2007,pop
708,2007,r&b
709,2006,hiphop
709,2006,pop
709,2006,latin
710,2012,set()
711,2007,dance/electronic
712,2007,pop
712,2007,dance/electronic
713,2006,pop
714,2007,hiphop
714,2007,pop
714,2007,r&b
715,2007,hiphop
715,2007,pop
716,2007,pop
716,2007,dance/electronic
717,2015,pop
717,2015,dance/electronic
718,2006,pop
718,2006,r&b
719,2007,hiphop
720,2007,pop
