Artistes;Artistes - nom corrig�;ID
Lil Uzi Vert;Lil Uzi Vert;543
Lil Wayne;Lil Wayne;544
Lilly Wood and The Prick;Lilly Wood and The Prick;545
Lily Allen;Lily Allen;546
Limp Bizkit;Limp Bizkit;547
Linkin Park;Linkin Park;548
Lionel Richie;Lionel Richie;549
Little Mix;Little Mix;550
Little Richard;Little Richard;551
LL Cool J;LL Cool J;552
Lloyd;Lloyd;553
Lloyd Banks;Lloyd Banks;554
LMC;LMC;555
LMFAO;LMFAO;556
Logic;Logic;557
Lorde;Lorde;558
Los Bukis;Los Bukis;559
Lost Frequencies;Lost Frequencies;560
Loud Luxury;Loud Luxury;561
Lucenzo;Lucenzo;562
Ludacris;Ludacris;563
Luis Fonsi;Luis Fonsi;564
Luke Bryan;Luke Bryan;565
Luke Combs;Luke Combs;566
Lumidee;Lumidee;567
Lunay;Lunay;568
Lupe Fiasco;Lupe Fiasco;569
Lykke Li;Lykke Li;570
Lynyrd Skynrd;Lynyrd Skynyrd;571
Lynyrd Skynyrd;Lynyrd Skynyrd;571
M.I.A.;M.I.A.;572
M.O;M.O;573
M.O.P.;M.O.P.;574
M83;M83;575
MØ;MO;632
Mýa;Mya;645
Mabel;Mabel;576
Mac Miller;Mac Miller;577
Machine Gun Kelly;Machine Gun Kelly;578
Macklemore;Macklemore;579
Macklemore & Ryan Lewis;Macklemore and Ryan Lewis;580
Madcon;Madcon;581
Madison Avenue;Madison Avenue;582
Madonna;Madonna;583
Maggie Lindemann;Maggie Lindemann;584
MAGIC!;MAGIC;585
Major Lazer;Major Lazer;586
Maluma;Maluma;587
Manic Street Preachers;Manic Street Preachers;588
Mann;Mann;589
Marc Anthony;Marc Anthony;590
Mariah Carey;Mariah Carey;591
Marilyn Manson;Marilyn Manson;592
MARINA;MARINA;593
Mario;Mario;594
Mario Winans;Mario Winans;595
Mark Ronson;Mark Ronson;596
Mark Ronson feat Bruno Mars;Mark Ronson;596
Maroon 5;Maroon 5;597
Marshmello;Marshmello;598
Martin Garrix;Martin Garrix;599
Martin Jensen;Martin Jensen;600
Martin Solveig;Martin Solveig;601
Marvin Gaye;Marvin Gaye;602
Mary J. Blige;Mary J. Blige;603
Mary Mary;Mary Mary;604
Matchbox Twenty;Matchbox Twenty;605
Matt Cardle;Matt Cardle;606
Meck;Meck;607
MEDUZA;MEDUZA;608
Meek Mill;Meek Mill;609
Megan Thee Stallion;Megan Thee Stallion;610
Meghan Trainor;Meghan Trainor;611
Melanie C;Melanie C;612
Metallica;Metallica;613
Metro Station;Metro Station;614
MGMT;MGMT;615
Michael Jackson;Michael Jackson;616
Michael Jackson *;Michael Jackson;616
Michel Teló;Michel Telo;617
Michelle Branch;Michelle Branch;618
Migos;Migos;619
Miguel;Miguel;620
MIKA;MIKA;621
Mike Perry;Mike Perry;622
Mike Posner;Mike Posner;623
Miley Cyrus;Miley Cyrus;624
Milky Chance;Milky Chance;625
MiMS;MiMS;626
Missy Elliott;Missy Elliott;628
Mis-Teeq;Mis Teeq;627
MK;MK;629
MKTO;MKTO;630
MNEK;MNEK;631
Modjo;Modjo;633
Moloko;Moloko;634
Monica;Monica;635
Montell Jordan;Montell Jordan;636
Morgan Wallen;Morgan Wallen;637
Mr. Probz;Mr. Probz;638
Muddy Waters;Muddy Waters;639
Mumford & Sons;Mumford and Sons;640
Muse;Muse;641
Musiq Soulchild;Musiq Soulchild;642
Mustard;Mustard;643
My Chemical Romance;My Chemical Romance;644
Mystikal;Mystikal;646
N.E.R.D;N.E.R.D;647
N.O.R.E.;N.O.R.E.;648
Nas;Nas;649
Natalie Cole;Natalie Cole;650
Natalie Cole & Nat King Cole;Natalie Cole;650
Natalie Imbruglia;Natalie Imbruglia;651
Natalie La Rose;Natalie La Rose;652
Natasha Bedingfield;Natasha Bedingfield;653
Natti Natasha;Natti Natasha;654
Naughty Boy;Naughty Boy;655
Neil Young;Neil Young;657
Nelly;Nelly;658
Nelly Furtado;Nelly Furtado;659
Neon Trees;Neon Trees;660
New Kids on the Block;New Kids on the Block;661
New Kids on the Block *;New Kids on the Block;661
Next;Next;662
Ne-Yo;Ne Yo;656
NF;NF;663
Nick Jonas;Nick Jonas;664
Nick Lachey;Nick Lachey;665
Nickelback;Nickelback;666
Nicki Minaj;Nicki Minaj;667
Nicky Jam;Nicky Jam;668
Nico & Vinz;Nico and Vinz;669
Nicole Scherzinger;Nicole Scherzinger;670
Nina Sky;Nina Sky;671
Nine Inch Nails;Nine Inch Nails;672
Nio Garcia;Nio Garcia;673
Nirvana;Nirvana;674
NLE Choppa;NLE Choppa;675
No Doubt;No Doubt;676
Norah Jones;Norah Jones;677
Normani;Normani;678
NSG;NSG;679
O.T. Genasis;O.T. Genasis;682
Oasis;Oasis;683
Of Monsters and Men;Of Monsters and Men;684
Offset;Offset;685
Oliver Heldens;Oliver Heldens;686
Olivia Newton-John;Olivia Newton John;687
Olivia Rodrigo;Olivia Rodrigo;688
Olly Murs;Olly Murs;689
Omarion;Omarion;690
One Direction;One Direction;691
OneRepublic;OneRepublic;692
OPM;OPM;693
Orson;Orson;694
Otis Redding;Otis Redding;695
Otto Knows;Otto Knows;696
OutKast;OutKast;697
Owl City;Owl City;698
O-Zone;O Zone;681
Ozuna;Ozuna;699
P!nk;Pink;724
P.O.D.;P.O.D.;700
Paloma Faith;Paloma Faith;701
Panic! At The Disco;Panic At The Disco;702
Panjabi MC;Panjabi MC;703
Papa Roach;Papa Roach;704
Paramore;Paramore;705
Parliament / Funkadelic;Parliament Funkadelic;706
PARTYNEXTDOOR;PARTYNEXTDOOR;707
Passenger;Passenger;708
Patti Smith;Patti Smith;709
Paul Simon;Paul Simon;710
Paulo Londra;Paulo Londra;711
Peabo Bryson & Regina Belle;Peabo Bryson;712
Pedro Capó;Pedro Capo;713
Peking Duk;Peking Duk;714
Pendulum;Pendulum;715
Percy Faith;Percy Faith;716
Petey Pablo;Petey Pablo;717
Petit Biscuit;Petit Biscuit;718
Pharrell Williams;Pharrell Williams;719
Phil Collins;Phil Collins;720
Phil Spector;Phil Spector;721
Philip George;Philip George;722
Pia Mia;Pia Mia;723
Pink;Pink;724
Pink Floyd;Pink Floyd;725
Pitbull;Pitbull;726
Pixie Lott;Pixie Lott;727
Plain White T's;Plain White T s;728
Plan B;Plan B;729
Playboi Carti;Playboi Carti;730
Plies;Plies;731
Polo G;Polo G;732
Post Malone;Post Malone;733
Pretty Ricky;Pretty Ricky;734
Prince;Prince;735
Professor Green;Professor Green;736
PSY;PSY;737
Public Enemy;Public Enemy;738
Puddle Of Mudd;Puddle Of Mudd;739
Queen;Queen;740
Queen + Adam Lambert;Queen + Adam Lambert;741
Quincy Jones and various artists;Quincy Jones;742
R. City;R. City;743
R.E.M.;R.E.M.;744
Rachel Stevens;Rachel Stevens;745
Radiohead;Radiohead;746
Rae Sremmurd;Rae Sremmurd;747
Rag'n'Bone Man;Rag n Bone Man;748
Rascal Flatts;Rascal Flatts;749
Ray Charles;Ray Charles;750
Ray Charles & Norah Jones;Ray Charles;750
Ray J;Ray J;751
Razorlight;Razorlight;752
Red Hot Chili Peppers;Red Hot Chili Peppers;753
Regard;Regard;754
Reik;Reik;755
Rich Boy;Rich Boy;756
Rich Homie Quan;Rich Homie Quan;757
Rich The Kid;Rich The Kid;758
Ricky Martin;Ricky Martin;759
Rihanna;Rihanna;760
Rita Ora;Rita Ora;761
Rixton;Rixton;762
Rizzle Kicks;Rizzle Kicks;763
Rob $tone;Rob Stone;764
Rob Thomas;Rob Thomas;765
Robbie Williams;Robbie Williams;766
Robert Plant;Robert Plant;767
Robert Plant & Alison Krauss;Robert Plant;767
Roberta Flack;Roberta Flack;768
Robin Schulz;Robin Schulz;769
Robin Thicke;Robin Thicke;770
Robyn;Robyn;771
Rod Wave;Rod Wave;772
Roddy Ricch;Roddy Ricch;773
Roger Sanchez;Roger Sanchez;774
Rolling Stones;Rolling Stones;775
Romeo Santos;Romeo Santos;776
Ronan Keating;Ronan Keating;777
Room 5;Room 5;778
Route 94;Route 94;779
Roy Orbison;Roy Orbison;780
Rudimental;Rudimental;781
Ruff Endz;Ruff Endz;782
Rui Da Silva;Rui Da Silva;783
Run;Run;784
Russ Millions;Russ Millions;785
Ryan Cabrera;Ryan Cabrera;786
S Club 7;S Club 7;787
Sak Noel;Sak Noel;788
Sam Cooke;Sam Cooke;789
Sam Feldt;Sam Feldt;790
Sam Smith;Sam Smith;791
Sam Sparro;Sam Sparro;792
Samantha Mumba;Samantha Mumba;793
Sammie;Sammie;794
Sandi Thom;Sandi Thom;795
Santana;Santana;796
Santana feat Rob Thomas;Santana;796
Savage Garden;Savage Garden;797
Saving Abel;Saving Abel;798
Saweetie;Saweetie;799
SAYGRACE;SAYGRACE;800
ScHoolboy Q;ScHoolboy Q;801
Scissor Sisters;Scissor Sisters;802
Scooter;Scooter;803
Scouting For Girls;Scouting For Girls;804
Seal;Seal;805
Sean Kingston;Sean Kingston;806
Sean Paul;Sean Paul;807
Sebastian Ingrosso;Sebastian Ingrosso;808
Sech;Sech;809
Seether;Seether;810
Selena Gomez;Selena Gomez;811
Selena Gomez & The Scene;Selena Gomez & The Scene;812
September;September;813
Sex Pistols;Sex Pistols;814
Shaggy;Shaggy;815
Shakira;Shakira;816
Shania Twain;Shania Twain;817
Shawn Colvin;Shawn Colvin;818
Shawn Mendes;Shawn Mendes;819
Shayne Ward;Shayne Ward;820
Sheck Wes;Sheck Wes;821
Sheppard;Sheppard;822
Sheryl Crow;Sheryl Crow;823
Shinedown;Shinedown;824
