,ID Artist,year,genre,duration,popularity
355,628,2002,r&b,234.893,57
356,363,2003,pop,220.36,60
356,363,2003,dance/electronic,220.36,60
357,973,2003,pop,201.92,59
357,973,2003,dance/electronic,201.92,59
358,193,2002,pop,245.96,67
359,337,2003,hiphop,245.293,49
359,337,2003,pop,245.293,49
359,337,2003,r&b,245.293,49
360,840,2005,hiphop,299.146,67
360,840,2005,pop,299.146,67
361,326,2002,hiphop,268.373,57
361,326,2002,pop,268.373,57
361,326,2002,r&b,268.373,57
362,361,2003,hiphop,243.306,59
362,361,2003,pop,243.306,59
362,361,2003,r&b,243.306,59
363,280,2003,rock,214.6,0
364,745,2003,pop,208.386,38
364,745,2003,dance/electronic,208.386,38
365,563,2003,hiphop,213.76,57
365,563,2003,pop,213.76,57
366,649,2002,hiphop,253.72,58
367,6,2002,pop,260.333,67
367,6,2002,rock,260.333,67
367,6,2002,metal,260.333,67
368,971,2002,hiphop,294.693,60
368,971,2002,pop,294.693,60
368,971,2002,r&b,294.693,60
369,468,2002,pop,288.333,73
370,988,2003,pop,199.32,57
371,676,2003,rock,226.053,60
371,676,2003,pop,226.053,60
372,47,2003,pop,218.76,48
372,47,2003,r&b,218.76,48
373,434,2002,hiphop,281.24,56
374,203,2002,rock,307.879,79
374,203,2002,pop,307.879,79
375,485,2002,hiphop,249.293,54
375,485,2002,pop,249.293,54
375,485,2002,r&b,249.293,54
376,628,2002,hiphop,263.226,70
376,628,2002,pop,263.226,70
376,628,2002,r&b,263.226,70
377,63,2003,hiphop,209.12,65
377,63,2003,pop,209.12,65
377,63,2003,r&b,209.12,65
378,465,2002,pop,181.826,67
379,69,2002,rock,293.96,75
379,69,2002,metal,293.96,75
380,807,2002,hiphop,232.506,61
380,807,2002,pop,232.506,61
381,418,2002,pop,245.773,55
381,418,2002,r&b,245.773,55
382,437,2002,hiphop,254.466,60
382,437,2002,pop,254.466,60
382,437,2002,r&b,254.466,60
383,635,2003,pop,242.773,64
383,635,2003,r&b,242.773,64
384,246,2003,pop,240.04,44
385,913,2002,hiphop,267.933,63
386,188,2003,hiphop,314.4,61
386,188,2003,pop,314.4,61
386,188,2003,r&b,314.4,61
387,305,2003,hiphop,223.973,61
387,305,2003,pop,223.973,61
387,305,2003,r&b,223.973,61
388,484,2003,pop,214.773,47
388,484,2003,r&b,214.773,47
389,413,2002,hiphop,278.693,61
389,413,2002,pop,278.693,61
389,413,2002,r&b,278.693,61
390,605,2002,pop,228.706,63
390,605,2002,rock,228.706,63
391,697,2003,hiphop,234.0,66
391,697,2003,pop,234.0,66
392,305,2003,hiphop,295.773,67
392,305,2003,pop,295.773,67
392,305,2003,r&b,295.773,67
393,865,2003,rock,201.373,61
393,865,2003,pop,201.373,61
394,218,2002,pop,257.026,58
395,366,2002,rock,190.173,68
395,366,2002,metal,190.173,68
396,986,2003,hiphop,202.013,63
396,986,2003,r&b,202.013,63
397,920,2003,rock,219.826,74
398,74,2002,pop,223.066,70
399,993,2003,pop,214.733,55
400,976,2004,hiphop,250.373,81
400,976,2004,pop,250.373,81
400,976,2004,r&b,250.373,81
401,597,2002,pop,206.2,77
402,147,2003,pop,198.8,81
403,697,2003,hiphop,235.213,80
403,697,2003,pop,235.213,80
404,392,2003,pop,232.8,79
404,392,2003,rock,232.8,79
404,392,2003,metal,232.8,79
405,50,2004,pop,257.426,65
406,216,2004,latin,192.6,11
407,113,2004,hiphop,217.733,53
407,113,2004,pop,217.733,53
408,681,2004,pop,215.431,56
409,876,2004,hiphop,247.426,67
410,50,1999,pop,212.266,56
411,379,2004,pop,221.226,60
411,379,2004,r&b,221.226,60
412,63,2004,hiphop,186.306,56
412,63,2004,pop,186.306,56
412,63,2004,r&b,186.306,56
413,910,2003,metal,257.92,68
414,394,2004,hiphop,236.52,59
414,394,2004,pop,236.52,59
415,104,2003,pop,208.6,63
415,104,2003,r&b,208.6,63
416,548,2003,rock,185.586,81
416,548,2003,metal,185.586,81
417,554,2004,hiphop,187.28,61
417,554,2004,pop,187.28,61
418,24,2004,pop,235.066,16
419,212,2004,hiphop,298.773,73
419,212,2004,pop,298.773,73
419,212,2004,rock,298.773,73
420,433,2004,hiphop,190.493,42
420,433,2004,pop,190.493,42
420,433,2004,r&b,190.493,42
421,595,2016,pop,257.333,66
422,242,2004,pop,242.013,61
422,242,2004,r&b,242.013,61
423,297,2004,pop,171.36,72
423,297,2004,dance/electronic,171.36,72
424,198,2004,pop,223.0,67
424,198,2004,r&b,223.0,67
425,483,2003,pop,206.106,63
425,483,2003,r&b,206.106,63
425,483,2003,dance/electronic,206.106,63
426,552,2004,hiphop,267.32,56
426,552,2004,pop,267.32,56
426,552,2004,r&b,267.32,56
427,848,2004,rock,205.973,63
428,356,2004,set(),265.826,57
429,147,2004,pop,213.893,53
430,671,2004,pop,232.0,67
430,671,2004,r&b,232.0,67
431,83,2003,hiphop,239.026,73
431,83,2003,pop,239.026,73
431,83,2003,r&b,239.026,73
431,83,2003,latin,239.026,73
432,717,2003,hiphop,235.186,56
432,717,2003,pop,235.186,56
433,434,2003,hiphop,245.173,53
434,462,2004,pop,216.706,70
434,462,2004,latin,216.706,70
435,74,2004,pop,212.413,61
436,766,2004,pop,233.6,33
436,766,2004,rock,233.6,33
