,artist,duration_ms,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,year_min,year_max,name
122,Burak Yeter,241874.0,0.0,72.0,0.841,0.639,-6.052,0.0688,0.0156,0.0654,0.0545,99.002,0.675,2016,2016,1
123,Busta Rhymes,275543.0,1.0,63.0,0.66275,0.7155,-4.98725,0.32625,0.029275000000000002,2.7e-05,0.388725,100.0235,0.5095000000000001,2001,2006,4
124,CNCO,188786.0,0.0,0.0,0.623,0.909,-3.079,0.0758,0.158,0.0,0.0972,93.984,0.651,2017,2017,1
125,Cali Swag District,237480.0,1.0,66.0,0.846,0.438,-4.981,0.141,0.2,9.43e-05,0.0939,85.013,0.512,2011,2011,1
126,Calvin Harris,227308.55,0.05,67.8,0.68595,0.87145,-3.8638,0.056905000000000004,0.0779841,0.05206161,0.21997,125.14410000000001,0.6172,2007,2019,20
127,CamRon,204706.0,1.0,67.0,0.754,0.767,-5.586,0.145,0.0216,0.0,0.172,83.014,0.828,2002,2002,1
128,Camila Cabello,216969.0,0.0,46.666666666666664,0.715,0.576,-5.113333333333333,0.05050000000000001,0.12796666666666667,0.001165,0.18666666666666668,110.97700000000002,0.43766666666666665,2017,2019,3
129,Camille Jones,152333.0,0.0,17.0,0.847,0.861,-6.632,0.0603,0.278,0.029,0.0626,127.894,0.724,2006,2006,1
130,Capital Cities,192693.0,0.0,0.0,0.652,0.783,-4.829,0.0309,0.000189,0.0173,0.0889,117.952,0.836,2013,2013,1
131,Cardi B,217096.0,1.0,71.2,0.8736,0.6624,-5.8692,0.1424,0.06032800000000001,0.0,0.22843999999999998,130.0174,0.49239999999999995,2017,2019,5
132,Carl Thomas,226760.0,0.0,52.0,0.736,0.666,-4.929,0.0337,0.0593,3.82e-05,0.107,89.824,0.224,2000,2000,1
133,Carly Rae Jepsen,193400.0,0.0,78.0,0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,120.021,0.66,2012,2012,1
134,Carrie Underwood,220039.5,0.0,69.5,0.525,0.796,-2.9435000000000002,0.0417,0.18095,0.0,0.07365,142.448,0.34099999999999997,2005,2012,2
135,Cascada,203160.0,0.0,31.5,0.7010000000000001,0.8394999999999999,-5.6195,0.049350000000000005,0.010655,8.4e-06,0.3425,134.524,0.6955,2009,2011,2
136,Case,284666.0,0.0,55.0,0.612,0.579,-6.417,0.0553,0.285,0.0,0.0556,86.31,0.716,2001,2001,1
137,Cashmere Cat,186231.0,0.0,56.0,0.747,0.641,-4.502,0.0925,0.25,0.00107,0.106,100.028,0.453,2018,2018,1
138,Cassie,192213.0,0.0,73.0,0.803,0.454,-4.802,0.0294,0.352,0.0,0.0655,99.99,0.739,2006,2006,1
139,Celine Dion,250573.0,0.0,61.5,0.604,0.7885,-5.2635000000000005,0.0392,0.1183,8.25e-06,0.1335,92.50450000000001,0.386,1999,2001,2
140,Chad Kroeger,200480.0,0.0,66.0,0.427,0.843,-4.54,0.0364,0.00216,0.0,0.179,147.387,0.304,2003,2003,1
141,Chamillionaire,303053.0,1.0,71.0,0.787,0.799,-4.68,0.0993,0.189,0.0,0.3,143.052,0.835,2005,2005,1
142,Charlene Soraia,197577.0,0.0,60.0,0.597,0.115,-9.217,0.0334,0.82,0.000215,0.111,111.202,0.128,2011,2011,1
143,Charli Baltimore,318213.0,1.0,47.0,0.64,0.59,-7.442,0.32,0.252,0.0,0.665,83.133,0.519,2002,2002,1
144,Charli XCX,169866.0,0.0,49.0,0.659,0.911,-2.28,0.0786,0.154,0.000304,0.191,91.999,0.576,2014,2014,1
145,Charlie Puth,199290.0,0.0,57.333333333333336,0.7756666666666666,0.6113333333333334,-5.9111666666666665,0.09193333333333333,0.2999833333333333,6.178333333333334e-06,0.10511666666666668,108.21633333333334,0.5848333333333333,2016,2018,6
146,Chase and Status,233666.0,0.0,60.0,0.45,0.846,-4.712,0.0472,0.00523,0.0,0.228,140.042,0.402,2011,2011,1
147,Cheat Codes,225932.0,0.0,34.0,0.6255,0.6795,-5.635,0.15250000000000002,0.031005,0.0,0.122,107.688,0.40199999999999997,2016,2017,2
148,Cher Lloyd,214013.0,0.0,67.0,0.696,0.893,-2.963,0.076,0.0662,0.0,0.473,97.954,0.573,2011,2011,1
149,Cherish,226293.0,0.0,65.0,0.826,0.67,-5.559,0.169,0.00798,0.0,0.495,74.007,0.794,2006,2006,1
150,Cheryl,223253.0,0.0,65.0,0.739,0.741,-5.873,0.0912,0.013,0.0,0.0679,122.988,0.727,2009,2009,1
151,Chicane,210786.0,0.0,47.0,0.644,0.72,-9.635,0.0419,0.00145,0.504,0.0839,132.017,0.53,2016,2016,1
152,Childish Gambino,235662.0,1.0,0.0,0.681,0.463,-6.542,0.289,0.128,0.0,0.0769,82.92,0.661,2013,2013,1
153,Chingy,269019.75,0.75,63.25,0.8067500000000001,0.718,-5.618,0.22575,0.1034,0.0,0.12055,121.915,0.847,2003,2006,4
154,Chip,237293.0,1.0,48.0,0.415,0.934,-2.914,0.24,0.078,0.0,0.145,190.151,0.52,2011,2011,1
155,Chord Overstreet,198853.0,0.0,80.0,0.618,0.443,-9.681,0.0526,0.469,0.0,0.0829,119.949,0.167,2017,2017,1
156,Chris Brown,237811.35294117648,0.35294117647058826,63.529411764705884,0.6854117647058823,0.6791764705882353,-5.119294117647059,0.10918235294117648,0.044749823529411765,0.00026906823529411765,0.13931764705882352,114.11935294117647,0.5067058823529412,2005,2019,17
157,Christina Aguilera,245641.25,0.0,64.75,0.70875,0.773,-4.2095,0.1705,0.1264075,0.0031800500000000002,0.2778875,130.588,0.548125,1999,2006,8
158,Christina Milian,216981.66666666666,0.0,55.0,0.8596666666666666,0.8096666666666666,-3.547333333333333,0.11699999999999999,0.08573333333333333,0.00024453333333333333,0.3391,127.697,0.753,2001,2004,3
159,Christina Perri,260804.33333333334,0.0,67.0,0.403,0.4146666666666667,-6.624333333333333,0.0317,0.389,0.0005346666666666667,0.11466666666666665,119.12566666666665,0.1675333333333333,2011,2013,3
160,Ciara,237796.375,0.0,60.625,0.799625,0.6038749999999999,-6.7705,0.09393750000000001,0.10101225,0.00016130750000000003,0.1960375,121.031375,0.564625,2004,2013,8
161,Clean Bandit,228470.8,0.0,55.6,0.7158,0.6728,-4.7386,0.04426,0.18724000000000002,2.0306000000000002e-05,0.2232,116.1854,0.5302,2014,2018,5
162,Cobra Starship,206053.0,0.0,67.5,0.631,0.8654999999999999,-3.33,0.0675,0.015349999999999999,3.355e-06,0.29375,125.9615,0.688,2009,2011,2
